"Cont", "Йогурт "Чудо" персик-маракуйя 2,5% 335г моностакан", 3490

"Utkonos", "Напиток кисломолочный с соком Neo Имунеле 3 Active земляника, 6*100г", 11100
"Cont", "Напиток кисломолочный "Actimel" (Актимель) 1,6% натуральный 100мл Danone", 1690

"Utkonos", "Йогурт Агуша с яблоком и грушей, питьевой 2,7% с 8-ми месяцев, 200г", 4150
"Cont", "Йогурт питьевой "Чудо" Садовый микс 2,4% груша-яблоко-смородина 290г", 2890

"Utkonos", "Напиток кисломолочный For Kids Имунеле Ягодный Бум 1,5%, 6*100г", 11900
"Cont", "Напиток кисломолочный "Actimel" (Актимель) 1,5% клубника 100г Danone", 1690

"Utkonos", "Напиток Боб и Соя бифидоник соевый 2,5% 450г", 3430
"Cont", "Напиток кисломолочный "Actimel" (Актимель) 2,5% киви клубника 100г Danone", 1690

"Utkonos", "Масло Золотой Резерв сладко-сливочное Традиционное 82,5%, 180г", 11200
"Cont", "Масло сливочное ''Мытищинское масло'' Традиционное 82,5% 180г", 4790

"Utkonos", "Сметана Караваево Деревенская 15%, 180г", 5340
"Cont", "Сметана "Простоквашино" 15% 350г", 4990

"Utkonos", "Сметана Домик в деревне 15%, 180г", 3370
"Cont", "Сметана "Домик в деревне" Деревенская Отборная 25% 350г пл/стакан", 6790

"Utkonos", "Сырок Чудо кокосовый 23% 40г", 1490
"Cont", "Сырок творожный изюм 23% 100г Дмитровский МЗ", 2290

"Utkonos", "Масса творожная Б.Ю.Александров Особая с изюмом 23% 100г", 6530
"Cont", "Масса творожная "Особая" с изюмом 23% 200г фольга Дмитровский МЗ", 3590

"Utkonos", "Творог Чистый Край 9%, 250г", 11400
"Cont", "Творог "Дмитровский" 9% 180г пергамент Россия", 5190

"Utkonos", "Ряженка Караваево 3,2%, 450г", 5450
"Cont", "Ряженка "Останкинская" 2,5% 450г пл.стакан Добряна", 3690

"Utkonos", "Простокваша Брест-Литовск 2,5%, 380г", 3710
"Cont", "Простокваша "Останкинская" 2,5% 450г пл.стакан Добряна", 3690

"Utkonos", "Чай Newby зеленый с мятой Moroccan Nights, 25пак*2г", 46700
"Cont", "Чай "Bernley" (Бернли) Earl Grey черный байховый цейлонский с ароматом бергамота 100пак х 2г", 20900

"Utkonos", "Фарш Останкино Домашний охлажденный, 500г", 21500
"Cont", "Фарш "Домашний" говядина и свинина охлажденный 1кг Собственное производство", 19900

"Utkonos", "Нектар Semper Персик с 4 месяцев 200мл", 7900
